FIPS,selection_ratio,ci,urban_code,incidents,frequency,black,white,bwratio,year,cat,slci,selection_ratio_log10
16021,3.805597989106179,3.954495376832134,6,41,"8,716",55.0,17378.0,0.003,2012,Low confidence,3.806 ± 3.954,0.5804229089288937
16027,3.277449717841185,1.2809930364136946,3,706,"144,655",6923.0,1005665.5,0.007,2012,S>1,3.277 ± 1.281,0.5155360375302004
16029,7.074097780720322,,6,27,"5,302",16.5,15889.5,0.001,2012,Low confidence,7.074 ± nan,0.8496710584945348
16031,6.673474970597518,7.064189267157415,5,28,"17,257",258.0,51513.0,0.005,2012,Low confidence,6.673 ± 7.064,0.824352035950535
16033,6.038833214073791,8.257829197629386,6,1,677,7.0,670.5,0.01,2012,Low confidence,6.039 ± 8.258,0.7809530350384082
16035,7.976764016318865,8.760703394036302,6,15,"7,309",87.0,21841.5,0.004,2012,Low confidence,7.977 ± 8.761,0.9018267441226229
16037,23.217864047128536,30.57903733075543,6,2,"3,695",27.5,18450.0,0.001,2012,Low confidence,23.218 ± 30.579,1.3658222638429658
16039,2.560153351335112,1.7559798900095185,5,73,"19,516",1843.5,56704.5,0.033,2012,Low confidence,2.56 ± 1.756,0.40826598001652015
16041,24.43319139483409,29.133740638924763,4,6,"9,571",41.0,19102.0,0.002,2012,Low confidence,24.433 ± 29.134,1.3879801970038923
16043,5.481649188759489,3.978047523848751,5,51,"10,079",190.5,30046.5,0.006,2012,S>1,5.482 ± 3.978,0.7389112383795078
16045,5.042766634781924,5.206978720539965,3,51,"13,444",44.0,26844.0,0.002,2012,Low confidence,5.043 ± 5.207,0.7026688706831227
16047,10.325747352786268,11.301172399837007,6,16,"11,709",225.0,58322.5,0.004,2012,Low confidence,10.326 ± 11.301,1.0139214946572508
16049,39.14274912885871,48.59211760448481,6,4,"13,497",180.0,67305.0,0.003,2012,Low confidence,39.143 ± 48.592,1.5926513243767972
16051,6.383157459522931,6.645881934082643,4,41,"19,278",230.0,76882.0,0.003,2012,Low confidence,6.383 ± 6.646,0.8050355577242562
16053,4.853124651441531,3.7576009554024137,5,77,"16,839",384.0,66974.0,0.006,2012,S>1,4.853 ± 3.758,0.6860214462169925
16055,5.700651628928043,1.740771874721183,4,669,"113,993",4959.5,1476956.0,0.003,2012,S>2,5.701 ± 1.741,0.7559245017554026
16057,3.21605536156146,2.1740947808717004,5,153,"31,334",2565.0,279445.5,0.009,2012,S>1,3.216 ± 2.174,0.5073235161378904
16059,8.124286798996417,8.966561742149521,6,14,"6,599",94.0,26304.0,0.004,2012,Low confidence,8.124 ± 8.967,0.909785246222558
16061,17.721908515509273,23.332204258572894,6,2,"2,984",40.0,11896.0,0.003,2012,Low confidence,17.722 ± 23.332,1.2485104903005717
16063,13.965461738954469,17.302718285085888,5,4,"3,941",36.0,7846.0,0.005,2012,Low confidence,13.965 ± 17.303,1.1450552993184349
16065,4.514416376291663,4.245382222054205,5,73,"29,297",508.5,87382.5,0.006,2012,Low confidence,4.514 ± 4.245,0.654601612691766
16067,4.56893471937371,4.779764482960532,5,36,"15,416",362.0,61302.0,0.006,2012,Low confidence,4.569 ± 4.78,0.6598149529302266
16069,3.906126328484203,4.000744327451277,4,72,"30,961",1353.0,339218.0,0.004,2012,Low confidence,3.906 ± 4.001,0.5917462847471273
16071,16.629777105588246,21.167037948241312,6,3,"3,338",12.0,6665.0,0.002,2012,Low confidence,16.63 ± 21.167,1.2208864282657128
16073,9.182659725487676,10.34420328929967,3,11,"8,609",184.5,25642.5,0.007,2012,Low confidence,9.183 ± 10.344,0.9629684913102377
16075,8.366685887963136,5.694210059203117,5,63,"17,565",214.0,70048.0,0.003,2012,S>2,8.367 ± 5.694,0.9225534644936549
16077,7.357103057820684,8.347367794448651,6,10,"5,810",151.5,17278.5,0.009,2012,Low confidence,7.357 ± 8.347,0.8667068396539384
16079,4.12618414703489,4.269239159527852,6,47,"10,555",153.0,63177.0,0.002,2012,Low confidence,4.126 ± 4.269,0.6155486061520403
16081,16.9802236683273,19.93618024842928,5,7,"7,823",49.0,15597.0,0.003,2012,Low confidence,16.98 ± 19.936,1.2299434065958348
